,group,sender,text,date
1,freifahren_BE,10869553,"Zwei typen grad S Hermannstraße 
1 weisse cap
Beide so unsexy Umhängetasche",2023-09-06 09:33:26+00:00
1,freifahren_BE,958288120,M5/M6 mollstr. / otto-braun-str,2023-09-06 09:35:22+00:00
1,freifahren_BE,6356391517,U bahn oder Sbahn?,2023-09-06 09:37:45+00:00
1,freifahren_BE,1698345964,U7 Richtung Wittenau,2023-09-06 09:41:26+00:00
1,freifahren_BE,1698345964,Jetz im Jannowitzbrucke,2023-09-06 09:41:37+00:00
1,freifahren_BE,6176848115,Gerade u9 westhafen 2 große typen,2023-09-06 09:57:53+00:00
1,freifahren_BE,378047577,Hellblau Jacke und schwarze Jacke Ringbahn Nähe landsberger,2023-09-06 10:06:47+00:00
1,freifahren_BE,838883572,U6 Leopoldolatz 4/6 blauwesten Richtung Alt Mariendorf letzen Wagen,2023-09-06 10:13:00+00:00
1,freifahren_BE,112393383,Boddinstr ubahngleis viel Polizei.,2023-09-06 10:15:51+00:00
1,freifahren_BE,112393383,Schönleinstr ubabn ebenso bullen,2023-09-06 10:19:36+00:00
1,freifahren_BE,3519735,S41 westkreuz 2 Frauen,2023-09-06 10:20:09+00:00
1,freifahren_BE,369722820,Kontrolle s9 Richtung Erkner Zoo eingestiegen,2023-09-06 10:21:12+00:00
1,freifahren_BE,251993239,Sbahn bellevue,2023-09-06 10:22:48+00:00
1,freifahren_BE,445908679,"12:29 uhr, weitergeleitet:

""U2 Möhrenstraße
Richtung Pankow
4 blauwesten""",2023-09-06 10:30:50+00:00
1,freifahren_BE,808204445,3 black wests u Hansaplatz U9,2023-09-06 10:31:43+00:00
1,freifahren_BE,764214895,Kontrolletti s 41 neukölln. Großer klatzkopf mit schwarzem adidas shirt,2023-09-06 10:57:20+00:00
1,freifahren_BE,176221070,Kontros S9 nach Spandau jetzt gleich Bellveue,2023-09-06 11:02:12+00:00
1,freifahren_BE,915728480,S9 Bellevue gerade,2023-09-06 11:25:15+00:00
1,freifahren_BE,5273661164,U9 nach rathaus steglitz hansaplatz,2023-09-06 11:34:00+00:00
1,freifahren_BE,1420913449,"4stk M14 Greifswalder Straße, weiß nicht welche Richtung.",2023-09-06 11:38:09+00:00
1,freifahren_BE,5160088032,Alexanderplatz U8 Richtung Wittenau eine Blauweste ein zivil,2023-09-06 11:42:14+00:00
1,freifahren_BE,445908679,"13:36 uhr

""4 controllers on U3 Krumme Lanke direction""

There was no station metioned.


Original image deleted.
Please paint over or cut out all faces from the pictures.",2023-09-06 11:48:21+00:00
1,freifahren_BE,593921902,U6 Richtung alt mariendorf. hallesches Tor ausgestiegen,2023-09-06 11:52:39+00:00
1,freifahren_BE,5000069710,Halleshes tor u6,2023-09-06 11:54:54+00:00
1,freifahren_BE,1400375663,M2 Richtung Alexanderplatz,2023-09-06 12:07:32+00:00
1,freifahren_BE,602350360,"Hey, Kottbusser Tor Abfahrt jetzt u3 Richtung krumme lanke 5 kontrollettis in schwarz mit grauen Sicherheitswesten",2023-09-06 12:07:50+00:00
1,freifahren_BE,5696422586,s25 henningsdorf,2023-09-06 12:14:55+00:00
1,freifahren_BE,5696422586,oranienburges str,2023-09-06 12:15:02+00:00
1,freifahren_BE,5696422586,2 zivil ein komplett hellgrün angezogen,2023-09-06 12:15:53+00:00
1,freifahren_BE,712580704,s5-> westkreuz jetzt mahlsdorf,2023-09-06 12:24:17+00:00
1,freifahren_BE,93997009,"Blauwesten jetzt u Tempelhof am Bahnsteig, kamen von u Platz der Luftbrücke",2023-09-06 12:25:23+00:00
1,freifahren_BE,5307935948,U8 Osloer Straße viele 🐽🐷,2023-09-06 12:25:24+00:00
1,freifahren_BE,5307935948,Zwischen gesundbrunen -Osloer Straße 🐽🐷,2023-09-06 12:26:39+00:00
1,freifahren_BE,6285394149,S7,2023-09-06 12:36:24+00:00
1,freifahren_BE,6285394149,Men in black,2023-09-06 12:36:32+00:00
1,freifahren_BE,6285394149,Tiergarten,2023-09-06 12:36:41+00:00
1,freifahren_BE,370894067,I´m sure that this is Schlesisches Tor in direction to Uhlandstraße and Krumme Lanke.,2023-09-06 12:56:57+00:00
1,freifahren_BE,163867818,"S-Bahn Bellevue 
Ein Mann in Zivil",2023-09-06 13:28:05+00:00
1,freifahren_BE,1511321965,Bos Jacken bus stop Uhlandstrasse,2023-09-06 14:57:08+00:00
1,freifahren_BE,912634481,U9 zoo,2023-09-06 15:01:26+00:00
1,freifahren_BE,912634481,Viiiiiele,2023-09-06 15:01:37+00:00
1,freifahren_BE,1169176383,Alt tempelhof U6 am Bahnsteig gerade ausgestiegen 4 Blauwesten Kontrolle,2023-09-06 15:20:05+00:00
1,freifahren_BE,1419239092,Kontrollettis u alt- Tempelhof,2023-09-06 15:20:52+00:00
1,freifahren_BE,1419239092,blau westen 4 Stück kann ich bestätigen,2023-09-06 15:21:49+00:00
1,freifahren_BE,1419239092,Sind immernoch am ubhf,2023-09-06 15:21:50+00:00
1,freifahren_BE,1419239092,Steigen gleich vorne in die u6 Richtung kutschi,2023-09-06 15:25:53+00:00
1,freifahren_BE,1412538783,M6 direction hackesher markt 2 controllers dresssed in civilian clothes,2023-09-06 15:28:00+00:00
1,freifahren_BE,1481608210,Kontrolle u6 erster Waggon Richtung alt telgel. 2 ältere Typen in blauer weste. Sind Tempelhof ausgestiegen,2023-09-06 15:28:03+00:00
